Benchmark,Time,CPU,Iterations,Optimization,Category
BM_SimpleLoop,,0.604234,,-O2,Loops
BM_SimpleLoop,,0.627721,,-O3,Loops
BM_SimpleLoop,,0.558933,,-O3,Loops
BM_SimpleLoop,,0.543463,,-O3,Loops
BM_SimpleLoop,,0.598082,,-O3,Loops
BM_SimpleLoop,,0.545647,,-O3,Loops
BM_SimpleLoop,,0.551459,,-O3,Loops
BM_SimpleLoop,,0.546422,,-O3,Loops
BM_SimpleLoop,,0.547943,,-O3,Loops
BM_SimpleLoop,,0.548646,,-O3,Loops
BM_SimpleLoop,,0.659829,,-O3,Loops
BM_SimpleLoop,,0.568097,,-O3,Loops
BM_SimpleLoop,,0.549826,,-O3,Loops
BM_SimpleLoop,,0.555784,,-O3,Loops
BM_SimpleLoop,,0.556731,,-O3,Loops
BM_SimpleLoop,,0.597996,,-O3,Loops
